Point ID,alphat,arc_length,epsilon,k,nut,p,p_rgh,Points_0,Points_1,Points_2,Points_Magnitude,T,U_0,U_1,U_2,U_Magnitude,vtkValidPointMask
72,0,0.01728,4113.09,5.95966,0,-1.23588,-1.23588,0.01728,0,0.001,0.0173089,302.941,0,0,0,0,1
73,0,0.01752,4084.95,5.89066,0,-1.15467,-1.15467,0.01752,0,0.001,0.0175485,303.028,0,0,0,0,1
74,0,0.01776,4048.38,5.80225,0,-1.08387,-1.08387,0.01776,0,0.001,0.0177881,303.116,0,0,0,0,1
75,0,0.018,4011.8,5.71385,0,-1.01306,-1.01306,0.018,0,0.001,0.0180278,303.205,0,0,0,0,1
76,0,0.01824,3975.22,5.62544,0,-0.942254,-0.942254,0.01824,0,0.001,0.0182674,303.293,0,0,0,0,1
77,0,0.01848,3938.64,5.53703,0,-0.871448,-0.871448,0.01848,0,0.001,0.018507,303.381,0,0,0,0,1
78,0,0.01872,3897.33,5.43935,0,-0.810386,-0.810386,0.01872,0,0.001,0.0187467,303.47,0,0,0,0,1
79,0,0.01896,3854.24,5.3382,0,-0.752977,-0.752977,0.01896,0,0.001,0.0189864,303.559,0,0,0,0,1
80,0,0.0192,3811.15,5.23705,0,-0.695569,-0.695569,0.0192,0,0.001,0.019226,303.648,0,0,0,0,1
81,0,0.01944,3768.06,5.1359,0,-0.638161,-0.638161,0.01944,0,0.001,0.0194657,303.737,0,0,0,0,1
82,0,0.01968,3724.91,5.03524,0,-0.582738,-0.582738,0.01968,0,0.001,0.0197054,303.826,0,0,0,0,1
83,0,0.01992,3681.53,4.93683,0,-0.536252,-0.536252,0.01992,0,0.001,0.0199451,303.916,0,0,0,0,1
84,0,0.02016,3638.14,4.83842,0,-0.489766,-0.489766,0.02016,0,0.001,0.0201848,304.006,0,0,0,0,1
85,0,0.0204,3594.75,4.74001,0,-0.44328,-0.44328,0.0204,0,0.001,0.0204245,304.096,0,0,0,0,1
